qid,partialscore_quote_to_sentence,tokensetscore_quote_to_sentence,partialscore_quote_to_paragraph,tokensetscore_quote_to_paragraph,partialscore_quote_to_fullspeech,tokensetscore_quote_to_fullspeech,_partialscore_sentence,tokensetscore_quote_to_sentence_nostopwords,_partialscore_paragraph,tokensetscore_quote_to_paragraph_nostopwords,_partialscore_speech,tokensetscore_quote_to_fullspeech_nostopwords
4078,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4079,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4080,96.0,98,96.0,96,96,96,96.0,100,96.0,100,96,100
4081,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4082,89.0,100,47.0,34,89,100,88.0,100,44.0,32,88,100
4083,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4084,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4085,100.0,100,100.0,97,100,97,99.0,100,99.0,97,99,97
4086,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4087,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
4088,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4089,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4090,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4091,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4092,99.0,98,99.0,97,99,97,98.0,99,98.0,96,98,96
4093,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4094,89.0,100,51.0,47,89,100,93.0,100,51.0,49,93,100
4095,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4096,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
4097,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4098,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4099,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4100,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4101,100.0,100,92.0,100,59,100,100.0,100,100.0,100,61,100
4102,100.0,100,100.0,100,54,48,100.0,100,100.0,100,53,30
4103,75.0,89,74.0,78,52,85,70.0,83,68.0,66,51,77
4104,98.0,100,98.0,100,55,94,97.0,100,97.0,100,55,90
4105,91.0,100,91.0,100,54,97,92.0,100,92.0,100,55,96
4106,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4107,76.0,98,76.0,98,76,98,77.0,100,77.0,100,77,100
4108,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4109,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4110,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4111,99.0,99,99.0,97,99,97,99.0,99,99.0,95,99,95
4112,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4113,91.0,93,91.0,93,91,100,88.0,88,88.0,88,88,100
4114,98.0,95,98.0,95,98,100,98.0,94,98.0,94,98,100
4115,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4116,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4117,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4118,64.0,71,100.0,100,100,100,73.0,71,100.0,100,100,100
4119,98.0,99,98.0,97,98,100,100.0,100,100.0,100,100,100
4120,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4121,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
4122,99.0,99,99.0,96,99,96,99.0,99,99.0,94,99,94
4123,88.0,96,88.0,96,88,100,80.0,100,80.0,100,80,100
4124,95.0,100,95.0,100,95,100,95.0,100,95.0,100,95,100
4125,91.0,100,91.0,100,91,100,95.0,100,95.0,100,95,100
4126,99.0,100,99.0,100,99,100,98.0,100,98.0,100,98,100
4127,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4128,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4129,98.0,100,98.0,100,98,100,96.0,100,96.0,100,96,100
4130,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4131,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4132,98.0,100,98.0,100,98,100,97.0,100,97.0,100,97,100
4133,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4134,100.0,100,84.0,94,91,100,100.0,100,81.0,92,89,100
4135,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4136,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4137,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4138,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4139,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4140,99.0,99,99.0,98,99,100,99.0,99,99.0,97,99,100
4141,98.0,98,98.0,98,98,98,97.0,98,97.0,98,97,98
4142,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4143,92.0,95,94.0,100,94,100,100.0,100,100.0,100,100,100
4144,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4145,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4146,99.0,92,99.0,92,99,97,99.0,91,99.0,91,99,96
4147,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4148,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4149,92.0,100,92.0,100,92,100,89.0,100,89.0,100,89,100
4150,98.0,100,98.0,98,98,100,100.0,100,100.0,100,100,100
4151,74.0,100,74.0,100,74,100,82.0,100,82.0,100,82,100
4152,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4153,71.0,64,71.0,64,71,96,65.0,56,65.0,50,76,94
4154,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4155,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4156,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
4157,86.0,53,86.0,53,86,100,86.0,53,91.0,53,91,100
4158,99.0,99,99.0,97,99,97,98.0,98,98.0,95,98,95
4159,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4160,96.0,98,97.0,100,97,100,93.0,97,95.0,100,95,100
4161,97.0,100,97.0,98,97,100,100.0,99,100.0,96,100,100
4162,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
4163,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4164,57.0,60,58.0,56,67,93,59.0,59,59.0,46,64,91
4165,75.0,92,47.0,32,61,81,79.0,89,44.0,29,59,74
4166,86.0,90,86.0,100,86,100,95.0,95,93.0,100,93,100
4167,91.0,94,93.0,97,93,97,92.0,96,93.0,96,93,96
4168,85.0,100,85.0,100,85,100,84.0,100,84.0,100,84,100
4169,88.0,92,88.0,92,88,100,91.0,97,91.0,97,91,100
4170,63.0,78,62.0,61,62,88,61.0,76,61.0,53,61,82
4171,74.0,79,74.0,92,74,96,78.0,78,78.0,90,78,94
4172,88.0,78,88.0,78,88,100,86.0,73,86.0,73,86,100
4173,88.0,100,88.0,100,88,100,100.0,100,100.0,100,100,100
4174,89.0,99,89.0,100,89,100,92.0,100,92.0,100,92,100
4175,99.0,99,99.0,99,99,99,97.0,98,97.0,98,98,98
4176,97.0,98,97.0,99,97,100,96.0,100,96.0,100,96,100
4177,100.0,95,100.0,95,100,95,100.0,92,100.0,92,100,92
4178,76.0,80,76.0,80,76,100,74.0,80,88.0,80,88,100
4179,85.0,98,85.0,100,85,100,85.0,100,85.0,100,85,100
4180,70.0,75,70.0,100,70,100,71.0,78,71.0,100,71,100
4181,72.0,100,72.0,100,72,100,73.0,100,73.0,100,73,100
4182,93.0,98,93.0,98,93,100,90.0,99,90.0,99,91,100
4183,90.0,93,90.0,93,90,97,88.0,90,88.0,90,88,96
4184,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4185,97.0,96,97.0,95,97,100,99.0,96,99.0,95,99,100
4186,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4187,85.0,89,89.0,95,89,100,90.0,94,94.0,94,94,100
4188,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4189,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4190,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4191,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4192,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4193,87.0,90,87.0,90,87,100,80.0,86,80.0,86,80,100
4194,85.0,100,85.0,100,85,100,77.0,100,77.0,100,77,100
4195,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4196,97.0,90,97.0,90,97,90,95.0,86,95.0,86,95,86
4197,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4198,100.0,100,100.0,97,100,100,99.0,100,99.0,95,99,100
4199,87.0,95,49.0,50,54,88,89.0,100,53.0,38,53,82
4200,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4201,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4202,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4203,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4204,94.0,99,94.0,97,94,100,99.0,100,99.0,96,99,100
4205,98.0,99,98.0,99,98,100,97.0,98,97.0,98,97,100
4206,83.0,100,83.0,100,83,100,84.0,100,84.0,100,84,100
4207,77.0,92,86.0,98,86,98,83.0,94,94.0,100,94,100
4208,85.0,100,87.0,96,87,96,81.0,99,84.0,95,84,95
4209,69.0,86,73.0,94,73,96,73.0,92,73.0,95,73,95
4210,95.0,96,95.0,96,95,100,97.0,96,97.0,96,97,100
4211,84.0,100,84.0,100,84,100,79.0,100,79.0,100,79,100
4212,92.0,86,92.0,86,92,86,100.0,100,100.0,100,100,100
4213,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4214,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4215,94.0,90,94.0,100,94,100,97.0,91,97.0,100,97,100
4216,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4217,83.0,100,72.0,95,72,97,89.0,100,75.0,97,75,97
4218,95.0,98,95.0,100,95,100,98.0,100,98.0,100,98,100
4219,64.0,69,64.0,64,64,87,58.0,50,58.0,44,58,74
4220,100.0,100,100.0,100,100,100,100.0,0,100.0,0,100,0
4221,70.0,100,81.0,100,81,100,79.0,100,79.0,100,79,100
4222,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4223,70.0,92,70.0,92,70,93,71.0,90,71.0,90,71,90
4224,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4225,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4226,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
4227,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4228,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4229,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4230,86.0,100,88.0,100,88,100,73.0,100,79.0,100,79,100
4231,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4232,78.0,100,78.0,100,78,100,76.0,100,76.0,100,76,100
4233,91.0,93,91.0,95,91,96,93.0,94,93.0,96,93,96
4234,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4235,93.0,96,91.0,98,91,100,100.0,100,100.0,100,100,100
4236,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4237,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4238,98.0,100,98.0,100,98,100,99.0,100,99.0,100,99,100
4239,98.0,99,98.0,99,98,99,98.0,100,98.0,98,98,98
4240,94.0,89,94.0,89,94,89,100.0,100,100.0,100,100,100
4241,85.0,95,93.0,100,93,100,92.0,96,96.0,100,96,100
4242,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4243,90.0,100,90.0,100,90,100,100.0,100,100.0,100,100,100
4244,100.0,100,100.0,100,60,97,100.0,100,100.0,100,60,96
4245,99.0,99,99.0,99,50,76,100.0,100,100.0,100,48,68
4246,100.0,100,98.0,100,62,100,100.0,100,100.0,100,70,100
4247,98.0,99,98.0,99,56,96,100.0,100,100.0,100,60,95
4248,94.0,90,94.0,90,50,78,93.0,88,93.0,88,49,68
4249,100.0,100,100.0,100,60,75,100.0,100,100.0,100,69,56
4250,95.0,97,95.0,97,55,83,100.0,100,100.0,100,51,76
4251,99.0,90,99.0,90,64,86,98.0,83,98.0,83,55,75
4252,90.0,93,90.0,93,51,70,89.0,91,89.0,90,49,52
4253,100.0,100,100.0,100,69,47,100.0,100,100.0,100,77,47
4254,92.0,94,94.0,99,52,84,100.0,100,100.0,100,50,70
4255,98.0,96,98.0,95,52,76,99.0,94,99.0,92,49,50
4256,99.0,92,99.0,92,51,68,98.0,86,98.0,86,58,36
4257,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4258,90.0,100,90.0,100,90,100,92.0,100,92.0,100,92,100
4259,71.0,97,71.0,99,71,100,71.0,97,71.0,100,71,100
4260,77.0,95,77.0,95,77,97,83.0,94,83.0,94,83,96
4261,99.0,99,99.0,99,99,99,100.0,100,100.0,100,100,100
4262,80.0,86,49.0,69,73,94,78.0,83,49.0,67,73,94
4263,93.0,97,85.0,100,85,100,96.0,97,87.0,100,87,100
4264,98.0,100,87.0,95,89,100,100.0,100,90.0,95,91,100
4265,68.0,68,68.0,93,68,93,69.0,68,65.0,93,65,93
4266,97.0,99,97.0,97,97,97,96.0,99,96.0,97,96,97
4267,48.0,76,90.0,94,90,94,53.0,75,92.0,91,92,91
4268,93.0,100,75.0,98,75,98,95.0,100,69.0,96,69,96
4269,98.0,100,98.0,100,98,100,98.0,100,98.0,100,98,100
4270,94.0,95,94.0,95,81,98,96.0,97,96.0,97,83,98
4271,93.0,100,94.0,96,94,100,91.0,100,91.0,95,91,100
4272,99.0,100,48.0,60,100,100,100.0,100,45.0,58,100,100
4273,99.0,93,99.0,93,99,93,99.0,92,99.0,92,99,92
4274,96.0,98,97.0,98,97,98,100.0,100,99.0,97,99,97
4275,94.0,100,91.0,97,91,97,96.0,100,98.0,99,98,99
4276,94.0,97,96.0,99,96,99,98.0,95,99.0,98,99,98
4277,91.0,95,91.0,100,91,100,89.0,100,89.0,100,89,100
4278,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4279,92.0,98,92.0,100,92,100,94.0,100,95.0,100,95,100
4280,84.0,95,84.0,95,84,95,88.0,94,88.0,94,88,94
4281,83.0,89,70.0,95,70,95,88.0,95,73.0,96,73,96
4282,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4283,98.0,94,98.0,94,98,100,98.0,92,98.0,92,98,100
4284,84.0,100,84.0,100,84,100,89.0,100,89.0,100,89,100
4285,96.0,98,96.0,100,96,100,100.0,100,100.0,100,100,100
4286,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4287,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4288,95.0,100,56.0,42,95,100,89.0,100,61.0,41,89,100
4289,97.0,99,97.0,98,97,100,96.0,100,97.0,98,97,100
4290,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4291,99.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4292,91.0,94,91.0,94,91,100,86.0,91,86.0,91,86,100
4293,57.0,81,49.0,76,98,99,55.0,79,49.0,74,100,98
4294,100.0,100,70.0,100,70,100,100.0,100,70.0,100,70,100
4295,93.0,100,93.0,100,93,100,100.0,100,100.0,100,100,100
4296,80.0,100,80.0,100,80,100,76.0,100,76.0,100,76,100
4297,100.0,98,100.0,98,100,98,100.0,97,100.0,97,100,97
4298,58.0,70,58.0,70,66,92,63.0,72,63.0,72,65,93
4299,98.0,98,100.0,100,100,100,100.0,100,100.0,100,100,100
4300,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4301,99.0,100,99.0,100,99,100,100.0,100,100.0,100,100,100
4302,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4303,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4304,58.0,53,58.0,59,88,100,51.0,50,51.0,34,94,100
4305,76.0,78,76.0,78,79,99,74.0,70,74.0,70,80,98
4306,99.0,98,99.0,98,99,98,99.0,100,99.0,97,99,97
4307,100.0,100,78.0,88,71,98,100.0,100,79.0,87,72,97
4308,100.0,100,100.0,100,100,98,100.0,100,100.0,100,100,98
4309,79.0,87,57.0,68,57,66,73.0,78,56.0,62,56,53
4310,100.0,100,100.0,100,100,100,99.0,100,99.0,100,99,100
4311,76.0,82,65.0,74,78,100,77.0,78,64.0,70,78,100
4312,99.0,98,83.0,99,83,99,100.0,100,85.0,99,85,99
4313,64.0,81,88.0,99,88,99,59.0,74,88.0,100,88,100
4314,91.0,93,66.0,68,63,99,93.0,93,67.0,66,63,99
4315,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4316,95.0,98,95.0,96,95,97,99.0,98,95.0,95,95,97
4317,46.0,65,89.0,91,89,93,45.0,58,88.0,88,88,91
4318,87.0,100,87.0,100,87,100,86.0,100,86.0,100,86,100
4319,77.0,100,77.0,100,77,100,83.0,100,83.0,100,83,100
4320,91.0,92,91.0,92,91,100,88.0,90,88.0,90,88,100
4321,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4322,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4323,77.0,94,77.0,94,77,100,73.0,90,73.0,90,73,100
4324,62.0,78,50.0,62,81,96,58.0,72,45.0,54,82,94
4325,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4326,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4327,79.0,97,47.0,43,49,46,83.0,96,45.0,35,51,9
4328,95.0,97,95.0,92,95,100,100.0,100,100.0,100,100,100
4329,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4330,88.0,91,88.0,91,88,91,96.0,88,96.0,88,96,88
4331,92.0,79,92.0,79,92,89,91.0,75,91.0,75,91,88
4332,71.0,93,71.0,93,71,93,93.0,93,93.0,93,93,93
4333,99.0,99,99.0,96,99,98,98.0,99,98.0,95,98,97
4334,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4335,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4336,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
4337,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4338,97.0,100,97.0,100,97,100,100.0,100,100.0,100,100,100
4339,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4340,96.0,97,96.0,100,96,100,100.0,100,100.0,100,100,100
4341,100.0,100,100.0,100,100,100,99.0,100,99.0,100,99,100
4342,100.0,100,92.0,93,92,97,100.0,100,92.0,92,92,95
4343,68.0,71,73.0,100,73,100,69.0,68,73.0,100,73,100
4344,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4345,87.0,92,73.0,100,73,100,89.0,91,72.0,100,72,100
4346,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4347,82.0,87,83.0,82,83,83,80.0,82,80.0,79,80,79
4348,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4349,81.0,89,81.0,89,81,100,83.0,92,83.0,92,83,100
4350,76.0,100,76.0,100,76,100,84.0,100,84.0,100,84,100
4351,96.0,98,96.0,96,96,96,100.0,100,100.0,100,100,100
4352,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4353,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4354,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4355,90.0,99,90.0,99,90,99,90.0,99,90.0,99,90,99
4356,96.0,100,96.0,100,96,100,98.0,100,98.0,100,98,100
4357,93.0,97,93.0,97,93,100,100.0,100,100.0,100,100,100
4358,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4359,83.0,80,83.0,80,83,80,83.0,80,83.0,80,83,80
4360,96.0,91,93.0,99,93,99,63.0,77,81.0,100,81,100
4361,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4362,88.0,100,88.0,100,88,100,86.0,100,86.0,100,86,100
4363,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4364,97.0,100,97.0,100,97,100,97.0,100,97.0,100,97,100
4365,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4366,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4367,91.0,100,91.0,100,91,100,88.0,100,88.0,100,88,100
4368,81.0,80,51.0,65,51,75,82.0,82,47.0,46,47,59
4369,66.0,91,66.0,91,66,100,68.0,93,68.0,93,68,100
4370,55.0,70,55.0,70,57,91,60.0,72,60.0,72,62,88
4371,92.0,100,92.0,100,92,100,90.0,100,90.0,100,90,100
4372,68.0,80,70.0,93,70,93,76.0,72,76.0,90,76,90
4373,94.0,100,95.0,100,95,100,91.0,100,93.0,100,93,100
4374,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4375,75.0,100,75.0,100,75,100,100.0,100,100.0,100,100,100
4376,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4377,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4378,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
4379,42.0,40,96.0,91,96,95,40.0,35,98.0,93,98,93
4380,96.0,88,96.0,92,96,92,98.0,90,98.0,88,98,88
4381,96.0,100,96.0,98,97,100,95.0,100,95.0,97,95,100
4382,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4383,94.0,100,94.0,100,94,100,92.0,100,92.0,100,92,100
4384,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4385,75.0,78,76.0,100,76,100,77.0,80,80.0,100,80,100
4386,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4387,99.0,100,99.0,100,99,100,100.0,100,100.0,100,100,100
4388,95.0,100,83.0,91,83,96,97.0,98,82.0,89,82,95
4389,99.0,100,99.0,100,99,100,100.0,100,100.0,100,100,100
4390,98.0,100,98.0,100,98,100,99.0,100,99.0,100,99,100
4391,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4392,68.0,62,72.0,100,72,100,59.0,56,81.0,100,81,100
4393,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4394,81.0,91,93.0,100,93,100,84.0,91,91.0,100,91,100
4395,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4396,65.0,100,65.0,100,65,100,100.0,100,100.0,100,100,100
4397,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4398,98.0,98,98.0,96,98,96,99.0,99,99.0,95,99,95
4399,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4400,98.0,100,98.0,98,98,98,100.0,100,100.0,100,100,100
4401,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4402,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4403,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4404,97.0,100,97.0,100,97,100,88.0,100,88.0,100,88,100
4405,96.0,100,96.0,100,96,100,100.0,100,100.0,100,100,100
4406,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4407,90.0,95,90.0,95,90,95,87.0,94,87.0,94,87,94
4408,98.0,100,98.0,100,98,100,100.0,100,100.0,100,100,100
4409,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4410,80.0,81,89.0,95,89,97,77.0,78,89.0,97,89,97
4411,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4412,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4413,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4414,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4415,96.0,78,96.0,78,100,100,95.0,74,95.0,74,100,100
4416,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4417,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4418,79.0,93,79.0,93,79,93,81.0,91,81.0,91,81,91
4419,95.0,100,95.0,100,95,100,100.0,100,100.0,100,100,100
4420,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4421,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4422,81.0,99,81.0,99,81,99,86.0,100,86.0,100,86,100
4423,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4424,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4425,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4426,90.0,100,90.0,100,90,100,86.0,100,86.0,100,86,100
4427,73.0,98,73.0,100,73,100,73.0,100,73.0,100,73,100
4428,71.0,73,69.0,100,69,100,79.0,74,72.0,100,72,100
4429,81.0,90,73.0,87,73,100,84.0,94,69.0,82,69,100
4430,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4431,87.0,100,87.0,100,87,100,87.0,100,87.0,100,87,100
4432,79.0,99,79.0,99,79,100,79.0,100,79.0,100,79,100
4433,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4434,85.0,97,85.0,97,85,98,84.0,96,84.0,96,84,97
4435,96.0,97,96.0,95,96,100,93.0,100,94.0,95,94,100
4436,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4437,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4438,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4439,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4440,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4441,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4442,93.0,100,93.0,100,93,100,100.0,100,100.0,100,100,100
4443,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4444,93.0,99,93.0,99,93,99,100.0,100,100.0,100,100,100
4445,91.0,94,91.0,95,91,100,100.0,100,100.0,100,100,100
4446,86.0,100,86.0,100,86,100,90.0,100,90.0,100,90,100
4447,99.0,97,99.0,97,99,97,99.0,96,99.0,96,99,96
4448,93.0,94,93.0,94,93,94,91.0,92,91.0,92,91,92
4449,95.0,98,95.0,98,95,97,94.0,97,94.0,97,94,96
4450,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4451,54.0,91,54.0,94,73,98,58.0,92,58.0,95,74,98
4452,81.0,100,81.0,100,81,100,80.0,100,80.0,100,80,100
4453,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4454,100.0,100,99.0,100,89,100,100.0,100,100.0,100,88,100
4455,98.0,100,98.0,100,98,99,100.0,100,100.0,100,100,100
4456,100.0,98,99.0,98,99,99,100.0,97,98.0,98,98,99
4457,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4458,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4459,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4460,90.0,96,89.0,93,89,93,91.0,95,91.0,90,91,90
4461,73.0,87,66.0,89,69,100,84.0,100,84.0,100,84,100
4462,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4463,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4464,89.0,97,89.0,94,89,94,91.0,100,83.0,91,83,91
4465,99.0,100,99.0,96,99,98,100.0,100,100.0,100,100,100
4466,91.0,94,48.0,37,91,100,100.0,100,45.0,28,100,100
4467,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4468,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4469,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4470,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
4471,100.0,100,100.0,100,100,100,100.0,100,100.0,100,100,100
